test_case_id,risk_category,angle,input_description,expected_challenge,learning_objective,input_data,actual_output,quality_rating,notes,patterns_observed,improvement_ideas,completed_date
BASE-KL,Context Awareness Failure,Baseline,Kerala standard family trip,"Does AI independently arrive at Munnar + Alleppey routing with destination-specific reasoning?","Establish baseline — what does correct output look like for a first-time Kerala trip with a 5yo?","Plan a 5-night Kerala trip for 2 adults and a 5-year-old. Budget ₹1 lakh. First time visiting Kerala. Want to cover the best of what Kerala offers. Kid gets tired easily and needs proper meal options at every stop. Suggest where to stay each night, how many days per location, 2–3 activities per day, and specific hotel recommendations with reasoning.",,,,,,
BASE-PU,Context Awareness Failure,Baseline,Puri mixed group (elderly + young child + religious),"Does AI produce an itinerary that balances religious itinerary for elders and child food constraints simultaneously?","Establish baseline — what does correct output look like for a multi-persona group with competing needs?","Plan a 4-night Puri trip for 2 adults, 2 elderly parents (70 and 60), and a 4-year-old. Budget ₹60,000. Must include Jagannath temple and Chilika lake. Parents are religious — temple timing is a priority. The 4-year-old is picky and can't eat most local Odia food.",,,,,,
BASE-GW,Context Awareness Failure,Baseline,Guwahati elderly parents (religious + leisure),"Does AI produce an itinerary that prioritises Kamakhya, builds in early dinners, and surfaces Brahmaputra boat options?","Establish baseline — what does correct output look like for an elderly-only trip with religious priority?","Plan a 4-night Guwahati trip for elderly parents — father 70, mother 60. Budget ₹40,000. Priority is Kamakhya temple darshan. Also want to cover a Shillong day trip and Brahmaputra river experience. Parents need early dinners, no strenuous walking, and a comfortable mid-range hotel in a central location.",,,,,,
A-KL-01,Context Awareness Failure,A — Explicit constraint,Kerala: toddler swap (age 5 → 2),"Does kid age change materially change hotel selection, activity choices, and pacing vs BASE-KL?","Reveal whether kid-age constraint is genuinely processed or treated as decoration","Plan a 5-night Kerala trip for 2 adults and a 2-year-old toddler (still napping midday, needs high chair and soft food options). Budget ₹1 lakh. First time visiting Kerala. Want to cover the best of what Kerala offers. Kid gets tired easily and needs proper meal options at every stop. Suggest where to stay each night, how many days per location, 2–3 activities per day, and specific hotel recommendations with reasoning.",,,,,,
A-KL-02,Context Awareness Failure,A — Explicit constraint,Kerala: elderly parents added to family group,"Does adding elderly with mobility constraint change activity selection, hotel requirements, and pacing vs BASE-KL?","Reveal whether multi-persona group composition changes output substance or just surface language","Plan a 5-night Kerala trip for 2 adults and a 5-year-old. Budget ₹1 lakh. First time visiting Kerala. Want to cover the best of what Kerala offers. Kid gets tired easily and needs proper meal options at every stop. We're also bringing my parents — father 68, mother 62. Father has mild knee issues, can't do stairs or uneven terrain easily. Suggest where to stay each night, how many days per location, 2–3 activities per day, and specific hotel recommendations with reasoning.",,,,,,
A-KL-03,Context Awareness Failure,A — Explicit constraint,Kerala: budget-conscious modifier added,"Does the budget-conscious soft constraint shift hotel tier, dining recommendations, and activity framing vs BASE-KL?","Reveal whether soft preference signals change substance of recommendations or only surface framing","Plan a 5-night Kerala trip for 2 adults and a 5-year-old. Budget ₹1 lakh. First time visiting Kerala. Want to cover the best of what Kerala offers. Kid gets tired easily and needs proper meal options at every stop. We're budget-conscious — want to avoid tourist traps and overpriced spots. Prefer local restaurants over resort dining. Hotel comfort matters but not luxury. Suggest where to stay each night, how many days per location, 2–3 activities per day, and specific hotel recommendations with reasoning.",,,,,,
A-PU-01,Context Awareness Failure,A — Explicit constraint,Puri: elderly parents removed from group,"Does removing elderly constraint materially change itinerary pacing, temple timing, and activity selection vs BASE-PU?","Reveal whether elderly persona signals change the plan structure or just appear in the output as decoration","Plan a 4-night Puri trip for 2 adults and a 4-year-old. Budget ₹60,000. Must include Jagannath temple and Chilika lake. The 4-year-old is picky and can't eat most local Odia food.",,,,,,
B-KL-01,Context Awareness Failure,B — Implicit local knowledge,Kerala: hotel location and houseboat trust gap (not mentioned),"Does AI proactively flag hotel location vs. city-center trade-off in Alleppey AND houseboat booking trust gap without being prompted?","Reveal how much Indian travel local knowledge the base model has — does it surface the friction points a knowledgeable local planner would flag?","Plan a 5-night Kerala trip for 2 adults and a 5-year-old. Budget ₹1 lakh. First time visiting Kerala. Want to cover the best of what Kerala offers. Kid gets tired easily and needs proper meal options at every stop. Suggest where to stay each night, how many days per location, 2–3 activities per day, and specific hotel recommendations with reasoning.",,,,,,
B-GW-01,Context Awareness Failure,B — Implicit local knowledge,Guwahati: late Shillong return and Kamakhya queue (not mentioned),"Does AI proactively flag late Shillong return → missed dinner risk AND Kamakhya darshan queue complexity without being prompted?","Reveal whether the model surfaces operational risks that derailed the real trip — the benchmark for 'would replace a local travel agent'","Plan a 4-night Guwahati trip for elderly parents — father 70, mother 60. Budget ₹40,000. Priority is Kamakhya temple darshan. Also want to cover a Shillong day trip and Brahmaputra river experience. Parents need early dinners, no strenuous walking, and a comfortable mid-range hotel in a central location.",,,,,,
B-PU-01,Context Awareness Failure,B — Implicit local knowledge,Puri: temple slot booking + Chilika cab risk + child food scarcity (not mentioned),"Does AI proactively flag Jagannath temple entry rules, Chilika cab operator inflation risk, and limited child-friendly food options in Puri without being prompted?","Reveal whether the model knows destination-specific operational risks — the hardest class of local knowledge to replicate","Plan a 4-night Puri trip for 2 adults, 2 elderly parents (70 and 60), and a 4-year-old. Budget ₹60,000. Must include Jagannath temple and Chilika lake. Parents are religious — temple timing is a priority. The 4-year-old is picky and can't eat most local Odia food.",,,,,,
